brand,item,price,image_url,product_url
TAMTAM SHAKER,Legging,"29,00 €",https://www.princessetamtam.com/dw/image/v2/ABBK_PRD/on/demandware.static/-/Sites-ptt-master/default/dwe854e2bc/KTAMT272_1809_AP1.jpg?sw=530&sh=654&sm=cut,https://www.princessetamtam.com/fr/legging-mona-rouge-KTAMT272_1809.html
DOUCEUR,Caraco,"29,00 €",https://www.princessetamtam.com/dw/image/v2/ABBK_PRD/on/demandware.static/-/Sites-ptt-master/default/dwc8c20050/MDOUC247_6104_PF1.jpg?sw=530&sh=654&sm=cut,https://www.princessetamtam.com/fr/caraco-beige-poudre-MDOUC247_6104.html
DIMANCHE,T-shirt manches longues open neck,"39,00 €",https://www.princessetamtam.com/dw/image/v2/ABBK_PRD/on/demandware.static/-/Sites-ptt-master/default/dw6564c14e/KDIMA267_2000_PF1.jpg?sw=530&sh=654&sm=cut,https://www.princessetamtam.com/fr/t-shirt-manches-longues-open-neck-noir-KDIMA267_2000.html
DOUCEUR,Caraco,"29,00 €",https://www.princessetamtam.com/dw/image/v2/ABBK_PRD/on/demandware.static/-/Sites-ptt-master/default/dwa3bd2489/MDOUC247_7082_PF1.jpg?sw=530&sh=654&sm=cut,https://www.princessetamtam.com/fr/caraco-vert-cypres-MDOUC247_7082.html
DOUCEUR,Short de pyjama,"29,00 €",https://www.princessetamtam.com/dw/image/v2/ABBK_PRD/on/demandware.static/-/Sites-ptt-master/default/dw9aa60e93/MDOUC248_6104_PF1.jpg?sw=530&sh=654&sm=cut,https://www.princessetamtam.com/fr/short-de-pyjama-beige-poudre-MDOUC248_6104.html
DIMANCHE,Chemise de nuit manches longues,"59,00 €",https://www.princessetamtam.com/dw/image/v2/ABBK_PRD/on/demandware.static/-/Sites-ptt-master/default/dwa44c83d3/KDIMA231_2000_PF1.jpg?sw=530&sh=654&sm=cut,https://www.princessetamtam.com/fr/chemise-de-nuit-manches-longues-noir-KDIMA231_2000.html
DOUCEUR,Pantalon,"39,00 €",https://www.princessetamtam.com/dw/image/v2/ABBK_PRD/on/demandware.static/-/Sites-ptt-master/default/dw9b338ac2/MDOUC244_7082_PF1.jpg?sw=530&sh=654&sm=cut,https://www.princessetamtam.com/fr/pantalon-vert-cypres-MDOUC244_7082.html
FLEECE,Chaussettes,"12,00 €",https://www.princessetamtam.com/dw/image/v2/ABBK_PRD/on/demandware.static/-/Sites-ptt-master/default/dw3e919d9f/MFLEE218_2000_AP1.jpg?sw=530&sh=654&sm=cut,https://www.princessetamtam.com/fr/chaussettes-noir-MFLEE218_2000.html
FLEECE,Chaussettes,"12,00 €",https://www.princessetamtam.com/dw/image/v2/ABBK_PRD/on/demandware.static/-/Sites-ptt-master/default/dw32e4d32e/MFLEE218_3088_AP1.jpg?sw=530&sh=654&sm=cut,https://www.princessetamtam.com/fr/chaussettes-bleu-marine-MFLEE218_3088.html
FLEECE,Chaussettes,"12,00 €",https://www.princessetamtam.com/dw/image/v2/ABBK_PRD/on/demandware.static/-/Sites-ptt-master/default/dw5f6f0879/MFLEE218_6000_AP1.jpg?sw=530&sh=654&sm=cut,https://www.princessetamtam.com/fr/chaussettes-ginger-bread-MFLEE218_6000.html
FLEECE,Chaussettes,"12,00 €",https://www.princessetamtam.com/dw/image/v2/ABBK_PRD/on/demandware.static/-/Sites-ptt-master/default/dw01d00fde/MFLEE218_6104_AP1.jpg?sw=530&sh=654&sm=cut,https://www.princessetamtam.com/fr/chaussettes-beige-poudre-MFLEE218_6104.html
FLEECE,Chaussettes,"12,00 €",https://www.princessetamtam.com/dw/image/v2/ABBK_PRD/on/demandware.static/-/Sites-ptt-master/default/dw80c40040/MFLEE218_2129_AP1.jpg?sw=530&sh=654&sm=cut,https://www.princessetamtam.com/fr/chaussettes-gris-chine-MFLEE218_2129.html
