brand,product,original price,current price,image url,product url,description,material,color
h&m,Fleece Pajamas,$24.99,$24.99,"https://lp2.hm.com/hmgoepprod?set=source[/30/97/30971208adfe0d2fbcd678f016d87b95c8c78219.jpg],origin[dam],category[ladies_nightwear_pyjamas],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/style]",https://www2.hm.com/en_us/productpage.0932993001.html,"Pajama top and pants in soft fleece with a brushed finish. Long-sleeved top with round neckline, dropped shoulders, and jersey ribbing at neckline, cuffs, and hem. Rounded, slightly longer hem at back. Pants with drawstring waistband with covered elastic and jersey ribbing at hems.",['Polyester 100%'],Gray melange
h&m,Oversized Joggers,$24.99,$24.99,"https://lp2.hm.com/hmgoepprod?set=source[/04/88/04880e223fb3885d6375179d0ecc20350ca260fb.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/style]",https://www2.hm.com/en_us/productpage.0916058001.html,"Oversized sweatpant joggers with soft, brushed inside. High waist, covered, elasticized waistband with drawstring, and elasticized hems. Polyester content is recycled.","['Cotton 60%, Polyester 40%']","Black, Light gray melange, Cream, Light beige"
h&m,Long Hoodie,$24.99,$24.99,"https://lp2.hm.com/hmgoepprod?set=source[/95/f7/95f7f4c163b8f4f9f5a6eb4fa198c51dd7622143.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/style]",https://www2.hm.com/en_us/productpage.0906639003.html,"Long hoodie in supersoft jersey with a brushed finish. Double-layered, drawstring hood. Dropped shoulders, long sleeves, and slits at sides. Slightly longer at back.","['Viscose 54%, Polyester 44%, Elastane 2%']","Light beige melange, Light gray melange, Black"
h&m,Satin Bathrobe,$24.99,$24.99,"https://lp2.hm.com/hmgoepprod?set=source[/66/18/6618fef643a48215ace60f6b45e74dcdc66597af.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/style]",https://www2.hm.com/en_us/productpage.0899614006.html,"Robe in soft, gently draped satin. Dropped shoulders, wide, 3/4-length sleeves, and tie belt at waist.",['Polyester 100%'],Dark red
h&m,Fleece Pants,$12.99,$12.99,"https://lp2.hm.com/hmgoepprod?set=source[/7b/50/7b502071e98291df91503ccf2b1561223bd62b70.jpg],origin[dam],category[ladies_nightwear],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/style]",https://www2.hm.com/en_us/productpage.0790383011.html,"Loose-fit pants in soft fleece. Covered, elasticized waistband and hems.",['Polyester 100%'],"Powder pink, Light gray melange"
h&m,Joggers,$24.99,$24.99,"https://lp2.hm.com/hmgoepprod?set=source[/be/8d/be8de7027652fb1a00766f1efb79bfbb5507cc89.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/style]",https://www2.hm.com/en_us/productpage.0924645001.html,Joggers in supersoft jersey with a brushed finish. High waist with covered elasticized waistband and drawstring. Diagonal side pockets and tapered legs with cuffs.,"['Viscose 54%, Polyester 44%, Elastane 2%']",Light gray melange
h&m,Velour Bathrobe,$34.99,$34.99,"https://lp2.hm.com/hmgoepprod?set=source[/ac/4c/ac4cd943d4752af1fe0304025414d94d27c721b7.jpg],origin[dam],category[ladies_nightwear_dressing_gowns],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/style]",https://www2.hm.com/en_us/productpage.0913322001.html,Bathrobe in soft velour with patch front pockets. Removable tie belt at waist.,['Polyester 100%'],Powder pink
h&m,Pajama Top and Shorts,$29.99,$29.99,"https://lp2.hm.com/hmgoepprod?set=source[/34/04/34044fb504922dfe9cf637b4476dcb22ce1f359d.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/style]",https://www2.hm.com/en_us/productpage.0907275001.html,"Pajamas with a sweatshirt and sweatshorts. Short, boxy sweatshirt with dropped shoulders, long sleeves, cut-off hem, and ribbing at neckline and cuffs. Shorts with an elasticized waistband.","['Cotton 98%, Viscose 2%']",Light gray melange
h&m,Satin Nightshirt,$24.99,$24.99,"https://lp2.hm.com/hmgoepprod?set=source[/f9/81/f981c499c668dbe1497185161fb998498789baff.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/style]",https://www2.hm.com/en_us/productpage.0914711001.html,"Short nightshirt in satin with a narrow, removable tie belt at waist. Notched lapels, buttons at front, gently dropped shoulders, and long, wide sleeves.",['Polyester 100%'],Brown
h&m,Satin Pajamas,$24.99,$24.99,"https://lp2.hm.com/hmgoepprod?set=source[/33/0d/330ddf2845e08ff438dc7acd707aa9bac073b7b6.jpg],origin[dam],category[ladies_nightwear_pyjamas],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]",https://www2.hm.com/en_us/productpage.0756320030.html,"Pajama top and shorts in soft satin. V-neck camisole top with extra-narrow, adjustable shoulder straps and lace at top. Short shorts with narrow, elasticized waistband and lace trim at hems.","['Lace: Polyamide 88%, Elastane 12%', 'Shell: Polyester 100%']",Dark turquoise
