brand,item,price,deal_price,img_url,product_url
La Perla,bas de pyjama Maison,431 €,,https://cdn-images.farfetch-contents.com/14/35/47/45/14354745_22509762_300.jpg,https://www.farfetch.com/fr/shopping/women/la-perla-bas-de-pyjama-maison-item-14354745.aspx?storeid=9359
GOODIOUS,pyjama à rayures,214 €,96 €,https://cdn-images.farfetch-contents.com/14/83/46/79/14834679_24103809_300.jpg,https://www.farfetch.com/fr/shopping/women/goodious-pyjama-a-rayures-item-14834679.aspx?storeid=11907
Morgan Lane,chemise de pyjama Tami,270 €,108 €,https://cdn-images.farfetch-contents.com/13/61/63/79/13616379_16424981_300.jpg,https://www.farfetch.com/fr/shopping/women/morgan-lane-chemise-de-pyjama-tami-item-13616379.aspx?storeid=10745
Olivia von Halle,pyjama Bella en soie ,283 €,,https://cdn-images.farfetch-contents.com/15/35/99/27/15359927_27008434_300.jpg,https://www.farfetch.com/fr/shopping/women/olivia-von-halle-pyjama-bella-en-soie-item-15359927.aspx?storeid=9359
Tory Burch,pantalon imprimé d'inspiration pyjama,874 €,,https://cdn-images.farfetch-contents.com/15/23/90/21/15239021_26626228_300.jpg,https://www.farfetch.com/fr/shopping/women/tory-burch-pantalon-imprime-dinspiration-pyjama-item-15239021.aspx?storeid=12888
Gilda & Pearl,pantalon de pyjama Sophia,320 €,224 €,https://cdn-images.farfetch-contents.com/14/63/20/88/14632088_23278374_300.jpg,https://www.farfetch.com/fr/shopping/women/gilda-pearl-pantalon-de-pyjama-sophia-item-14632088.aspx?storeid=10249
La Perla,pyjama à rayures,1 684 €,,https://cdn-images.farfetch-contents.com/15/92/55/89/15925589_29964970_300.jpg,https://www.farfetch.com/fr/shopping/women/la-perla-pyjama-a-rayures-item-15925589.aspx?storeid=9053
Chinti and Parker,pyjama Bonne Nuit,216 €,,https://cdn-images.farfetch-contents.com/15/67/25/48/15672548_28891169_300.jpg,https://www.farfetch.com/fr/shopping/women/chinti-and-parker-pyjama-bonne-nuit-item-15672548.aspx?storeid=9040
Gilda & Pearl,pantalon de pyjama Sophia,320 €,,https://cdn-images.farfetch-contents.com/15/07/01/10/15070110_25848584_300.jpg,https://www.farfetch.com/fr/shopping/women/gilda-pearl-pantalon-de-pyjama-sophia-item-15070110.aspx?storeid=10249
Marques'Almeida,pantalon de pyjama fuselé,429 €,171 €,https://cdn-images.farfetch-contents.com/14/90/75/32/14907532_24554265_300.jpg,https://www.farfetch.com/fr/shopping/women/marquesalmeida-pantalon-de-pyjama-fusele-item-14907532.aspx?storeid=9597
